카테고리,회사명,제품,가격,사용시간,흡입력
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91813,357260,60.0,170.0
핸디스틱청소기,샤오미,유핀 CL99,40320,50.0,170.0
핸디스틱청소기,욜로닉스,로헨 L30,169000,50.0,350.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957E2,698950,60.0,210.0
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3515ST,197800,35.0,210.0
핸디스틱청소기,아이룸,AST-009 플러스,118900,40.0,120.0
핸디스틱청소기,신일전자,SVC-599WS,77500,10.0,120.0
핸디스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-3BW,345780,55.0,54.0
핸디스틱청소기,쿠쿠전자,CVC-B1020UG,166320,33.0,130.0
핸디스틱청소기,테팔,에어포스 라이트 TY6545KL,125130,30.0,220.0
핸디스틱청소기,삼성전자,제트 VS20T92P8SF,459000,60.0,200.0
핸디스틱청소기,리하스,S3,199000,42.0,300.0
핸디스틱청소기,삼성전자,비스포크 제트 VS20A956A3 + 물걸레,635660,60.0,210.0
핸디스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-3OB,267670,55.0,35.0
핸디스틱청소기,보만,VC7210,48570,,35.0
핸디스틱청소기,샤오미,미지아 K10 프로,348990,65.0,150.0
핸디스틱청소기,쿠쿠전자,파워클론 CVC-AE1420,261250,35.0,140.0
핸디스틱청소기,카처,VC4I 코드리스 PLUS,321990,30.0,140.0
핸디스틱청소기,삼성전자,제트 VS15R8500BF,355770,40.0,150.0
핸디스틱청소기,기펠,듀얼 글라이드 360 P11,643970,30.0,230.0
핸디스틱청소기,델로라,V11 파워 300W,84370,70.0,220.0
핸디스틱청소기,신일전자,SVC-P60DK,156740,30.0,170.0
핸디스틱청소기,샤오미,G10,241240,65.0,250.0
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2OIB,232390,50.0,250.0
핸디스틱청소기,마끼다,DCL182ZW,63790,40.0,54.0
핸디스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1420UG,223300,35.0,230.0
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91825,593590,60.0,230.0
핸디스틱청소기,신일전자,SVC-PB220WU,85400,35.0,230.0
핸디스틱청소기,샤오미,TROUVER POWER 12,178080,60.0,220.0
핸디스틱청소기,홈마블,H83BL,47900,45.0,115.0
핸디스틱청소기,테팔,에어포스 라이트 TY6541KM,135100,30.0,115.0
핸디스틱청소기,일렉트로룩스,WELL Q8 WQ81-3PSGF,286430,53.0,200.0
핸디스틱청소기,LG전자,코드제로 A9 A9100S,636500,40.0,140.0
핸디스틱청소기,일렉트로룩스,에르고라피도 클래식 ZB3501EB,169100,30.0,140.0
핸디스틱청소기,제이앤케이,리빈치 LHV-100,29800,20.0,140.0
핸디스틱청소기,LG전자,코드제로 A9S AT9571IB,943410,60.0,210.0
핸디스틱청소기,DIBEA,올인원뉴,179000,50.0,200.0
핸디스틱청소기,아이룸,제우스 i30,149000,40.0,300.0
핸디스틱청소기,신일전자,SVC-R60BCK,49800,20.0,60.0
핸디스틱청소기,에어메이드,THE 500+ AMC-4500,231300,60.0,60.0
핸디스틱청소기,마끼다,DCL281FZW,135710,20.0,82.0
핸디스틱청소기,삼성전자,제트 VS20T92P7SF,479000,60.0,200.0
핸디스틱청소기,샤오미,VIOMI A9 V-HWVC12A,198000,60.0,230.0
핸디스틱청소기,DIBEA,올인원25000,129000,55.0,250.0
핸디스틱청소기,LG전자,코드제로 A9S AT9201IB,706600,60.0,210.0
핸디스틱청소기,테팔,엑스퍼트 3.60 TY6933,179960,45.0,210.0
핸디스틱청소기,샤오미,미지아 라이트 MJWXCQ03DY,84210,45.0,170.0
핸디스틱청소기,발뮤다,더 클리너 C01B,389980,30.0,170.0
핸디스틱청소기,테팔,에어포스360 플랙스프로 TY9298,304780,30.0,170.0
핸디스틱청소기,샤오미,SHUNZAO Z11 MAX,256160,60.0,260.0
핸디스틱청소기,한샘,스톰건 V12 VC-R201,127460,35.0,200.0
핸디스틱청소기,샤오미,드리미 P10 Pro,181990,60.0,220.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AS9201WB,580000,60.0,210.0
핸디스틱청소기,신일전자,SVC-C106JA,218530,35.0,250.0
핸디스틱청소기,캐치웰,CV6 플러스,89000,40.0,120.0
핸디스틱청소기,일렉트로룩스,에르고라피도 베드프로 ZB3323BO,207060,48.0,20.0
핸디스틱청소기,모온,오비큠 (2022년형),296710,60.0,20.0
핸디스틱청소기,스위스밀리터리,에어슬림 SMA-BV2200,147750,30.0,170.0
핸디스틱청소기,삼성전자,제트 VS20T9253QD,377100,60.0,200.0
핸디스틱청소기,삼성전자,제트 VS15A6031N5,313070,40.0,150.0
핸디스틱청소기,스위스밀리터리,SMA-BL2000,99000,40.0,180.0
핸디스틱청소기,비브르,스톰파워 V31000,235000,40.0,310.0
핸디스틱청소기,일렉트로룩스,ZB3301,159000,42.0,310.0
핸디스틱청소기,쿠쿠전자,파워클론 CVC-AE1410,396750,35.0,310.0
핸디스틱청소기,다이슨,V8 플러피,619990,40.0,155.0
핸디스틱청소기,테팔,엑스퍼트 3.60 플러피 TY6964,351820,45.0,155.0
핸디스틱청소기,신일전자,더쎈 SVC-ECO150,179000,20.0,150.0
핸디스틱청소기,LG전자,오브제컬렉션 코드제로 A9S AT9201WC,742210,60.0,210.0
핸디스틱청소기,작스제로,XAX 0,249000,40.0,290.0
핸디스틱청소기,일렉트로룩스,Well Q7 Pet WQ71-2PSSF,266990,50.0,290.0
핸디스틱청소기,DIBEA,M500 클래스,168990,50.0,200.0
핸디스틱청소기,벤하임코리아,듀얼360 클린케어 BCR-120WH,89380,40.0,200.0
핸디스틱청소기,테팔,엑스콤보 GF3039,417050,20.0,200.0
핸디스틱청소기,모모픽,MAX300,158000,40.0,300.0
핸디스틱청소기,다이슨,옴니 글라이드 컴플리트+,639330,20.0,50.0
핸디스틱청소기,비브르,스톰파워 VE30,172890,40.0,250.0
핸디스틱청소기,삼성전자,에어본 VC-PS86,122380,15.0,250.0
핸디스틱청소기,아이룸,D10,139190,35.0,25.0
핸디스틱청소기,일렉트로룩스,WELL Q6 WQ61-1EDBF,238400,45.0,150.0
핸디스틱청소기,기펠,ZET-10,228000,35.0,130.0
핸디스틱청소기,삼성전자,제트 VS20T9218QDCC,485000,60.0,200.0
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2BSWF,268810,50.0,200.0
핸디스틱청소기,자일렉,ZL-274H,38900,30.0,55.0
핸디스틱청소기,다이슨,V10 앱솔루트 플러스,929060,60.0,50.0
핸디스틱청소기,쿠쿠전자,파워클론 CVC-B1010UG,244440,33.0,50.0
핸디스틱청소기,샤오미,로이드미 X30 프로,248990,70.0,265.0
핸디스틱청소기,삼성전자,제트 VS20T92P8SD,521130,60.0,200.0
핸디스틱청소기,샤오미,드리미 V11,460000,90.0,250.0
핸디스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1410UG,295040,35.0,230.0
핸디스틱청소기,캐치웰,C10,106140,30.0,230.0
핸디스틱청소기,퍼피유,T12 Home Rinse,379000,42.0,260.0
핸디스틱청소기,DIBEA,M500 퀀텀,181830,50.0,250.0
핸디스틱청소기,신일전자,SVC-R220UB,75600,20.0,130.0
핸디스틱청소기,일렉트로룩스,에르고라피도 ZB3311,213180,48.0,130.0
핸디스틱청소기,쿠팡,홈플래닛 858B-DC,42990,30.0,70.0
핸디스틱청소기,샤오미,디어마 VC20 PLUS,68500,22.0,70.0
핸디스틱청소기,삼성전자,제트 VS15A6031N5AA,290550,40.0,150.0
핸디스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-3EM,260280,55.0,60.0
핸디스틱청소기,아이닉,i20,199000,50.0,250.0
핸디스틱청소기,보만,WC1720W,157170,20.0,170.0
핸디스틱청소기,일렉트로룩스,WELL Q7 WQ71-2ESSF,279810,50.0,55.0
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91835,736070,60.0,55.0
핸디스틱청소기,일렉트로룩스,얼티밋홈 900 EFP91814WH,525680,60.0,220.0
핸디스틱청소기,SINOLINK,DM-V09,82770,23.0,130.0
핸디스틱청소기,신일전자,SVC-8858PNX,181740,30.0,170.0
핸디스틱청소기,샤오미,TROUVER POWER 11,169000,60.0,200.0
핸디스틱청소기,아이리스,IC-SLDCP5,39900,30.0,200.0
핸디스틱청소기,삼성전자,제트 VS20T9278S3,697490,60.0,200.0
핸디스틱청소기,다이슨,디지털 슬림 플러피+,858800,40.0,100.0
핸디스틱청소기,오아,OA-CL010,74900,25.0,130.0
핸디스틱청소기,샤오미,Lydsto H4,369000,23.0,250.0
핸디스틱청소기,다이슨,V11 컴플리트,938360,60.0,185.0
핸디스틱청소기,DIBEA,D18,119960,45.0,90.0
핸디스틱청소기,캐치웰,CX11 PLUS,152150,60.0,200.0
핸디스틱청소기,샤크,에보 파워 플러스 WV250KR2,147060,12.0,50.0
